rownames;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
9;1985;457.5;45878;105.4;256;8.562801;54.67899;16.85875;3.97252;10725.86;0.07825;Alabama;no
10;1986;558;45667;111.6;267;8.566521;54.51791;16.57609;3.991562;11091.62;0.0786251;Alabama;no
11;1987;559.2;45725;112.2;283;8.592103;54.3877;16.2823;4.015257;11323.82;0.0790919;Alabama;no
12;1988;558.6;45909;117.8;307;8.618144;54.23505;15.9927;4.023848;11654.960000000001;0.0792611;Alabama;no
13;1989;590.8;45698;133.9;300;8.638031;54.06622;15.675230000000001;4.030224;11963.900000000001;0.0793867;Alabama;no
14;1990;708.6;45819;143.7;328;8.699674;56.07016;15.3807;4.048508;12063.980000000001;0.0797736;Alabama;no
15;1991;844.2;45788;152.8;370;8.771641;55.97353;15.18314;4.091025;12087.820000000002;0.0806113;Alabama;no
16;1992;871.7;11;164.9;394;8.877969;55.80952;15.02558;4.139269;12398.02;0.081562;Alabama;no
17;1993;780.4;45819;159.5;407;8.972758;55.66076;14.86296;4.193114;12395.8;0.0826229;Alabama;no
18;1994;683.7;45911;171.2;431;9.047583;55.50783;14.67744;4.232965;12673.92;0.0834082;Alabama;no
19;1995;632.4;45699;185.8;450;9.094921;55.33187;14.54549;4.262731;12872.68;0.0839947;Alabama;no
55;1985;602.5;8;146.5;247;3.673841;65.33994;17.0261;3.183535;12786.210000000001;0.0280468;Arizona;no
56;1986;658.3;45725;169.2;256;3.72806;65.11162;16.73828;3.308262;13146.869999999999;0.0291456;Arizona;no
57;1987;612.6;45784;138.4;268;3.784642;64.77774;16.45066;3.437102;13269.01;0.0302807;Arizona;no
58;1988;610.1;45785;137;307;3.844388;64.44434;16.15664;3.535179;13299.390000000001;0.0311448;Arizona;no
59;1989;599.6;45844;139;328;3.903289;63.91225;15.89517;3.622176;13304.1;0.0319112;Arizona;no
60;1990;652.4;45845;160.9;350;3.964251;64.84599;15.65157;3.679056;13114.779999999999;0.0323741;Arizona;no
61;1991;670.7;45876;165.7;375;4.026213;64.48261;15.32617;3.762394;12838.55;0.0331074;Arizona;no
62;1992;670.8;45665;153.1;396;4.067532;64.29301;15.06402;3.867333;12873.01;0.0340308;Arizona;no
63;1993;715;45816;162.9;409;4.107062;64.02615;14.84015;3.99339;12922.88;0.0351401;Arizona;no
64;1994;703.1;45787;162;430;4.16112;64.19139;14.63248;4.147561;13288.130000000001;0.0364967;Arizona;no
65;1995;713.5;45757;173.8;459;4.210515;64.04899;14.52453;4.306908;13494.640000000001;0.0378989;Arizona;yes
78;1985;347.6;45907;68.5;188;5.448844;59.18848;16.04804;2.327044;10430.460000000001;0.0446838;Arkansas;no
79;1986;394.8;45665;79.7;195;5.453926;59.12255;15.81027;2.33199;10666.21;0.0447788;Arkansas;no
80;1987;412;45815;79.1;198;5.468931;59.08031;15.59308;2.342359;10685.37;0.0449779;Arkansas;no
81;1988;422.7;45846;84.1;227;5.485952;58.94504;15.35794;2.342638;10959.47;0.0449833;Arkansas;no
82;1989;473.7;45755;110.6;230;5.507787;58.81361;15.12138;2.346387;11091.84;0.0450552;Arkansas;no
83;1990;532.2;45726;113.2;261;5.545241;61.01876;14.93504;2.354343;11055.859999999999;0.0452106;Arkansas;no
84;1991;593.3;45668;135.6;277;5.603151;60.95456;14.80757;2.370666;11151.41;0.0455241;Arkansas;no
85;1992;576.5;45879;125.5;317;5.660378;60.80524;14.68971;2.394098;11661.75;0.045974;Arkansas;no
86;1993;593.3;45698;124.9;340;5.731631;60.91962;14.56569;2.423743;11709.56;0.0465433;Arkansas;no
87;1994;595.1;12;128.7;327;5.748989;61.00677;14.45512;2.450605;11928;0.0470591;Arkansas;no
88;1995;553.2;45757;125.7;345;5.777742;60.96267;14.39696;2.480121;12129.08;0.0476259;Arkansas;no
101;1985;765.3;45787;327.7;162;6.419227;61.9726;17.58418;26.44111;15657.730000000001;0.1691701;California;no
102;1986;920.5;45727;342.9;181;6.571936;61.4321;17.35141;27.10224;16023.85;0.1734;California;no
103;1987;918;45818;301.3;212;6.712571;60.96083;17.1327;27.77715;16334.119999999999;0.177718;California;no
104;1988;929.8;45757;305.8;231;6.850673;60.54552;16.92792;28.46425;16598.35;0.1821141;California;no
105;1989;977.7;45910;331.8;257;6.997949;60.14187;16.78493;29.21816;16674.29;0.1869376;California;no
106;1990;1045.2;45911;377;283;7.156204;60.53821;16.61047;29.95011;16679.420000000002;0.1920211;California;no
107;1991;1089.9;45850;411.3;311;7.26585;59.86163;16.22872;30.41411;16099.54;0.194996;California;no
108;1992;1119.7;45850;424.1;318;7.394206;59.40587;15.9039;30.87592;16132.619999999999;0.1979568;California;no
109;1993;1077.8;45670;405.1;339;7.525185;58.84095;15.59114;31.14721;15796.699999999999;0.1996962;California;no
110;1994;1013;45880;356.8;368;7.618953;58.34014;15.29132;31.31718;15773.86;0.2007859;California;no
111;1995;966;45699;331.2;384;7.714913;57.91899;15.08377;31.49352;16020.38;0.2019165;California;no
124;1985;471;45874;124.2;104;2.491744;71.09287;17.11547;3.208717;14275.22;0.0309737;Colorado;no
125;1986;523.6;7;144.8;103;2.547748;70.60625;16.64707;3.237447;14336.75;0.031251;Colorado;no
126;1987;467.5;45874;118.8;115;2.599251;70.12352;16.22412;3.260478;14397.71;0.0314733;Colorado;no
127;1988;472.6;45843;98.8;145;2.643703;69.71968;15.81841;3.262281;14553.97;0.0314907;Colorado;no
128;1989;471.4;45751;90;174;2.698713;69.4189;15.47111;3.275821;14894.04;0.0316214;Colorado;no
129;1990;526;45692;90.6;207;2.750993;70.51215;15.20009;3.303862;15013.69;0.0318506;Colorado;no
130;1991;559.3;45905;107.4;209;2.798311;70.5401;14.87783;3.367567;14976;0.0324647;Colorado;no
131;1992;578.8;45694;120.5;249;2.829628;70.58759;14.6569;3.459995;15227.37;0.0333558;Colorado;no
132;1993;567.3;45874;116.7;256;2.879706;70.76588;14.46057;3.560884;15520.41;0.0343284;Colorado;no
133;1994;509.6;45752;106.9;262;2.920543;70.96488;14.28738;3.65391;15790.660000000002;0.0352252;Colorado;no
134;1995;440.2;45874;96.2;289;2.947571;71.1405;14.21173;3.738061;16261.710000000001;0.0360365;Colorado;no
147;1985;402;45872;190;119;3.348601;67.74603;16.17114;3.201128;17374.54;0.657046;Connecticut;no
148;1986;425.8;45812;192.2;127;3.435485;67.21826;15.87937;3.223737;18214.54;0.6616866;Connecticut;no
149;1987;419;45904;178.1;135;3.523706;66.7266;15.53988;3.247291;19201.91;0.6665211;Connecticut;no
150;1988;455.4;45752;187.6;144;3.617498;66.2566;15.22223;3.271958;20213.89;0.6715842;Connecticut;no
151;1989;511.8;45905;214.8;146;3.704991;65.67208;14.87585;3.283409;20714.99;0.6739345;Connecticut;no
152;1990;553.7;45662;234.8;194;3.790024;67.24413;14.53457;3.289056;20372.83;0.6788557;Connecticut;no
153;1991;539.7;45843;224.4;238;3.877986;66.6134;14.12867;3.28864;19636.85;0.6787698;Connecticut;no
154;1992;495.3;45662;210.9;263;3.949469;66.03352;13.75824;3.274997;20330.850000000002;0.675954;Connecticut;no
155;1993;456.2;45722;196.7;268;4.025792;65.46114;13.45976;3.272325;20395.78;0.6754025;Connecticut;no
156;1994;455.5;45814;187.8;320;4.081422;65.08693;13.17764;3.268346;20517.5;0.6745812;Connecticut;no
157;1995;405.9;45812;163.2;321;4.132952;64.80254;30651;3.265293;20893.34;0.6739511;Connecticut;no
170;1985;433.3;45873;124.3;263;6.296459;61.20521;16.85876;0.618284;14867.86;0.3200228;Delaware;no
171;1986;427;45904;124.2;281;6.34046;60.80499;16.5373;0.627557;15253.93;0.3248225;Delaware;no
172;1987;430.7;45662;122.5;311;6.404671;60.48524;16.2124;0.636957;15727.24;0.3296879;Delaware;no
173;1988;451.7;45693;118.8;326;6.478223;60.15025;15.85676;0.647585;16260.7;0.3351889;Delaware;no
174;1989;556.5;45662;138.8;331;6.554518;59.82942;15.51852;0.658233;16806.79;0.3407003;Delaware;no
175;1990;655.2;5;164.8;333;18780;61.46357;15.20903;0.669063;16486.63;0.3422317;Delaware;no
176;1991;714.3;45752;214.7;323;6.794319;61.005;14.92472;0.680495;16332;0.3480793;Delaware;no
177;1992;621.2;45812;151.2;344;6.956813;60.55497;14.65491;0.690158;16396.74;0.353022;Delaware;no
178;1993;685.9;5;186.7;390;7.09718;60.17885;14.39437;0.699475;16414.05;0.3577877;Delaware;no
179;1994;644.3;45842;161.6;394;7.244331;59.73326;14.18362;0.708416;16484.16;0.3623611;Delaware;no
180;1995;725;45780;198.7;400;7.419685;59.49879;13.96769;0.718265;16605.71;0.367399;Delaware;no
216;1985;941.1;45758;312.4;242;5.236619;59.25166;14.92604;11.35112;13616.83;0.2096121;Florida;no
217;1986;1036.5;45849;366.8;247;5.24706;58.90889;14.66731;27699;14019.51;0.2154544;Florida;no
218;1987;1024.4;45758;356.6;272;5.271782;58.623;14.38565;11.99729;14395.949999999999;0.2215443;Florida;no
219;1988;1117.7;45758;403.3;265;5.288664;58.21194;14.08954;23712;14813.31;0.2272523;Florida;yes
220;1989;1109.4;45668;404;278;5.319287;57.87771;13.86584;12.63771;15293.13;0.2333704;Florida;yes
221;1990;1244.3;45848;416.8;307;5.353076;59.33008;13.6879;13.01836;15129.51;0.2410942;Florida;yes
222;1991;1184.3;45756;399.8;336;5.456843;58.97432;13.38398;13.2895;14758.16;0.2461155;Florida;yes
223;1992;1207.2;9;366.9;344;5.591074;58.52879;13.16867;13.50478;14669.31;0.2501023;Florida;yes
224;1993;1206;45908;357.6;355;5.693723;57.94917;12.93066;13.71359;14918.23;0.2539695;Florida;yes
225;1994;1146.8;45724;328.8;384;5.809861;57.54924;12.71791;13.9618;15012.48;0.2585662;Florida;yes
226;1995;1071;45723;299.9;406;5.931224;57.33018;12.58249;14.1854;15376.849999999999;0.2627072;Florida;yes
239;1985;507.2;45757;164.2;254;9.769167;54.40846;17.43874;5.962668;12170.42;0.1027055;Georgia;no
240;1986;587.6;45699;213.9;251;9.778049;54.31058;17.17435;6.08466;12716.91;0.1048067;Georgia;no
241;1987;576.5;45880;209.2;265;9.782475;54.23222;16.87653;6.20847;12997.14;0.1069393;Georgia;no
242;1988;665.3;45849;243.6;282;9.798496;54.05778;16.63891;6.316153;13367.59;0.1087941;Georgia;no
243;1989;735.8;45850;271.1;281;9.818057;53.84161;16.4105;6.411085;13492.810000000001;0.1104293;Georgia;no
244;1990;756.3;45880;263.5;300;9.871989;55.20558;16.19728;6.506531;13516.36;0.1123385;Georgia;yes
245;1991;738.2;45881;268.2;327;10.00728;54.94827;15.89805;6.621279;13369.26;0.1143196;Georgia;yes
246;1992;733.2;11;249.8;342;10.13363;54.66885;15.64598;6.759474;13726.43;0.1167056;Georgia;yes
247;1993;723.1;45758;248;365;10.25108;54.34254;15.38986;6.894092;13868.880000000001;0.1190299;Georgia;yes
248;1994;667.7;10;222.6;387;10.39586;54.12839;15.14298;7.0459;14226.24;0.1216509;Georgia;yes
249;1995;657.1;45786;205.2;456;10.52201;53.94292;14.94876;7.188538;14538.42;0.1241136;Georgia;yes
354;1985;211.7;45901;41.2;97;0.9249439;68.6693;16.1795;2.829685;12403.77;0.0505617;Iowa;no
355;1986;235.1;45870;42;98;0.9559214;68.29514;15.8061;2.791966;12744.18;0.0498877;Iowa;no
356;1987;231.2;45659;36.2;98;0.9885779;68.13417;15.44967;2.767005;13066.42;0.0494417;Iowa;no
357;1988;256.8;45839;39.9;101;1.023085;68.14285;15.16346;2.768392;12895.23;0.0494665;Iowa;no
358;1989;266.3;45901;39;107;1.061725;67.98687;14.87516;2.770585;13299.289999999999;0.0495057;Iowa;no
359;1990;299.7;45901;39.2;126;1.099156;70.36103;14.6755;2.779769;13243.560000000001;0.0497498;Iowa;no
360;1991;303.3;2;45;139;1.145482;70.44009;14.57194;2.791227;13054.93;0.0499548;Iowa;no
361;1992;278;45809;39.6;144;1.194725;70.6496;14.48829;2.806923;13446.69;0.0502358;Iowa;no
362;1993;325.5;45718;53.9;160;1.239237;70.71407;14.4337;2.820525;13042.08;0.0504792;Iowa;no
363;1994;315.1;45839;46.9;174;1.284927;70.80584;14.36569;2.829422;13774.660000000002;0.0506384;Iowa;no
364;1995;354.4;45870;53;192;1.322205;70.96812;14.33379;2.84086;13852.37;0.0508431;Iowa;no
